nome_cliente;Plano;dt_desativacao_sac;dt_cadastro_sac;st_diavencimento_sac;st_cartaobandeira_sac;campo1;st_estado_sac;Pacote de mensagem;Valor;MRR
91524;Lake;;10/31/2022;30;Cartão de crédito;;RN;;200;200
91525;River;;10/10/2022;25;Cartão de crédito;;SP;50;500;550
91526;River;10/05/2022;10/05/2022;4;Cartão de crédito;;SC;;500;500
91527;Lake;10/04/2022;10/04/2022;2;Cartão de crédito;;SP;;200;200
91528;River;10/04/2022;09/22/2022;25;Cartão de crédito;;SC;;500;500
91529;River;10/11/2022;09/15/2022;20;Cartão de crédito;;SP;;500;500
91530;River;;09/14/2022;15;Cartão de crédito;;RJ;;500;500
91531;River;02/09/2023;09/13/2022;15;Boleto;;MS;50;500;550
91532;River;09/12/2022;09/12/2022;15;Cartão de crédito;;RS;;500;500
91533;River;;09/07/2022;10;Cartão de crédito;;SP;;500;500
91534;River;09/19/2022;08/29/2022;25;Cartão de crédito;;PR;;500;500
91535;River;;08/29/2022;25;Cartão de crédito;;RS;;500;500
91536;River;;08/25/2022;25;Cartão de crédito;;SP;;500;500
91537;River;;08/24/2022;25;Cartão de crédito;;MG;50;500;550
91538;River;01/04/2023;08/19/2022;20;Boleto;;SC;;500;500
91539;River;;08/17/2022;20;Boleto;;BA;;500;500
91540;Sea;08/17/2022;08/16/2022;20;Cartão de crédito;;SP;;1000;1000
91541;Sea;;08/15/2022;20;Cartão de crédito;;SP;;1000;1000
91542;Sea;;08/15/2022;20;Cartão de crédito;;SP;;1000;1000
91543;Sea;08/15/2022;08/15/2022;15;Cartão de crédito;;SP;50;1000;1050
91543;Sea;08/15/2022;08/15/2022;15;Cartão de crédito;;SP;50;1000;1050
91543;Sea;08/15/2022;08/15/2022;15;Cartão de crédito;;SP;50;1000;1050
91544;Sea;;08/14/2022;20;Cartão de crédito;;GO;;1000;1000
91545;Sea;08/15/2022;08/14/2022;15;Cartão de crédito;;GO;;1000;1000
91545;Sea;08/15/2022;08/14/2022;15;Cartão de crédito;;GO;;1000;1000
91545;Sea;08/15/2022;08/14/2022;15;Cartão de crédito;;GO;;1000;1000
91545;Sea;08/15/2022;08/14/2022;15;Cartão de crédito;;GO;;1000;1000
91545;Sea;08/15/2022;08/14/2022;15;Cartão de crédito;;GO;;1000;1000
91545;Sea;08/15/2022;08/14/2022;15;Cartão de crédito;;GO;;1000;1000
91546;Sea;09/14/2022;08/12/2022;15;Cartão de crédito;;SP;;1000;1000
91547;Sea;09/02/2022;08/12/2022;15;Boleto;;SP;;1000;1000
91548;Sea;12/28/2022;08/12/2022;15;Boleto;;SP;;1000;1000
91549;Sea;11/09/2022;08/12/2022;15;Boleto;;SC;;1000;1000
91550;Sea;09/15/2022;08/11/2022;15;Boleto;;MT;;1000;1000
91551;Sea;;08/11/2022;15;Cartão de crédito;;SP;;1000;1000
91552;Sea;10/03/2022;08/11/2022;11;Cartão de crédito;;MG;;1000;1000
91553;River;08/10/2022;08/09/2022;10;Boleto;;SP;;500;500
91553;River;08/10/2022;08/09/2022;10;Boleto;;SP;;500;500
91553;River;;08/09/2022;15;Boleto;;SP;;500;500
91554;River;04/13/2023;08/09/2022;10;Cartão de crédito;;SP;;500;500
91555;River;;08/08/2022;10;Cartão de crédito;;SP;;500;500
91556;River;;08/08/2022;30;Cartão de crédito;;SP;;500;500
91557;River;;08/08/2022;25;Cartão de crédito;;MS;;500;500
91558;River;08/08/2022;08/06/2022;6;Cartão de crédito;;RJ;;500;500
91558;River;08/06/2022;08/06/2022;6;Cartão de crédito;;RJ;;500;500
91558;River;08/06/2022;08/06/2022;6;Cartão de crédito;;RJ;;500;500
91558;River;08/06/2022;08/06/2022;6;Cartão de crédito;;RJ;;500;500
91558;River;08/06/2022;08/06/2022;6;Cartão de crédito;;RJ;;500;500
91558;River;08/06/2022;08/06/2022;6;Cartão de crédito;;RJ;;500;500
91558;River;08/06/2022;08/06/2022;6;Cartão de crédito;;RJ;;500;500
91559;River;11/10/2022;08/06/2022;10;Cartão de crédito;;RJ;50;500;550
91560;River;;08/05/2022;10;Boleto;;SP;;500;500
91561;Sea;;08/05/2022;15;Boleto;;SP;;1000;1000
91562;Sea;08/30/2022;08/05/2022;10;Cartão de crédito;;PR;;1000;1000
91563;Sea;;08/04/2022;30;Boleto;;BA;;1000;1000
91563;Sea;08/05/2022;08/04/2022;4;Boleto;;BA;;1000;1000
91564;Sea;;08/04/2022;5;Boleto;;SC;;1000;1000
91565;Sea;09/21/2022;08/04/2022;5;Cartão de crédito;;SP;;1000;1000
91566;Sea;;08/04/2022;5;Boleto;;SP;50;1000;1050
91567;Sea;12/13/2022;08/04/2022;5;Cartão de crédito;;MG;;1000;1000
91568;Sea;11/09/2022;08/03/2022;5;Boleto;;SC;;1000;1000
91569;Sea;09/01/2022;08/03/2022;5;Cartão de crédito;;RJ;;1000;1000
91570;Sea;05/02/2023;08/03/2022;5;Boleto;;PR;50;1000;1050
91571;Sea;;08/03/2022;5;Boleto;;PR;;1000;1000
91572;Sea;;08/02/2022;5;Cartão de crédito;;AM;;1000;1000
91573;Sea;10/06/2022;08/02/2022;5;Cartão de crédito;;SP;;1000;1000
91574;Sea;;08/02/2022;5;Cartão de crédito;;GO;;1000;1000
91575;River;08/08/2022;08/02/2022;2;Boleto;;MG;;500;500
91575;River;08/08/2022;08/02/2022;5;Boleto;;MG;;500;500
91576;River;10/05/2022;08/02/2022;5;Cartão de crédito;;SP;;500;500
91577;River;09/16/2022;08/01/2022;5;Cartão de crédito;;SC;;500;500
91578;River;;08/01/2022;5;Cartão de crédito;;PR;;500;500
91578;River;08/01/2022;08/01/2022;1;Cartão de crédito;;PR;;500;500
